2013-12-03_01:36:30.942|I|32121|B7F636D0|INFO|GateID=0x9999|AppID=0x1|GameID=0|MaxTryTimes=10|CheckSum=0|
2013-12-03_01:36:30.942|I|32121|B7F636D0|INFO|ACL|0
2013-12-03_01:36:30.948|I|32121|B7F636D0|INFO|router init ok!
2013-12-03_01:36:30.948|I|32121|B7F636D0|INFO|RouterServer is running now!
2013-12-03_01:36:30.957|I|32121|B7F636D0|INFO|Router|1|listen at port 9999
2013-12-03_01:36:30.966|I|32121|B7F636D0|INFO|Router|1|listen at port 19999
2013-12-03_01:36:30.966|I|32121|B7F636D0|INFO|onListenOK|1|Addr=(0.0.0.0:9999)
2013-12-03_01:36:30.966|I|32121|B7F636D0|INFO|onListenOK|1|Addr=(0.0.0.0:19999)
2013-12-03_01:36:31.976|I|32121|B7F636D0|INFO|onAcceptOK|1|Addr=(127.0.0.1:33604)
2013-12-03_01:36:31.979|I|32121|B7F636D0|INFO|registService|Addr=(127.0.0.1:33604)|CmdID=0|GatewayID=0|GameID=0
2013-12-03_01:36:33.026|I|32121|B7F636D0|INFO|onAcceptOK|1|Addr=(127.0.0.1:33615)
2013-12-03_01:36:33.029|I|32121|B7F636D0|INFO|registService|Addr=(127.0.0.1:33615)|CmdID=0x10000001|GatewayID=0|GameID=1204
2013-12-03_01:36:33.029|I|32121|B7F636D0|INFO|registService|Addr=(127.0.0.1:33615)|CmdID=0x10000002|GatewayID=0|GameID=1204
2013-12-03_01:36:33.029|I|32121|B7F636D0|INFO|registService|Addr=(127.0.0.1:33615)|CmdID=0x10002003|GatewayID=0|GameID=1204
2013-12-03_01:36:33.029|I|32121|B7F636D0|INFO|registService|Addr=(127.0.0.1:33615)|CmdID=0x10004201|GatewayID=0|GameID=1204
2013-12-03_01:36:34.061|I|32121|B7F636D0|INFO|onAcceptOK|1|Addr=(127.0.0.1:33625)
2013-12-03_01:36:34.064|I|32121|B7F636D0|INFO|registService|Addr=(127.0.0.1:33625)|CmdID=0x10003105|GatewayID=0|GameID=1204
2013-12-03_01:36:34.064|I|32121|B7F636D0|INFO|registService|Addr=(127.0.0.1:33625)|CmdID=0x10003106|GatewayID=0|GameID=1204
2013-12-03_01:36:34.064|I|32121|B7F636D0|INFO|registService|Addr=(127.0.0.1:33625)|CmdID=0x10003109|GatewayID=0|GameID=1204
2013-12-03_01:36:34.064|I|32121|B7F636D0|INFO|registService|Addr=(127.0.0.1:33625)|CmdID=0x10003202|GatewayID=0|GameID=1204
2013-12-03_01:36:34.064|I|32121|B7F636D0|INFO|registService|Addr=(127.0.0.1:33625)|CmdID=0x10003301|GatewayID=0|GameID=1204
2013-12-03_01:36:34.064|I|32121|B7F636D0|INFO|registService|Addr=(127.0.0.1:33625)|CmdID=0x10003302|GatewayID=0|GameID=1204
2013-12-03_01:36:34.064|I|32121|B7F636D0|INFO|registService|Addr=(127.0.0.1:33625)|CmdID=0x10003303|GatewayID=0|GameID=1204
2013-12-03_01:36:34.064|I|32121|B7F636D0|INFO|registService|Addr=(127.0.0.1:33625)|CmdID=0x10003304|GatewayID=0|GameID=1204
2013-12-03_01:36:34.064|I|32121|B7F636D0|INFO|registService|Addr=(127.0.0.1:33625)|CmdID=0x10003305|GatewayID=0|GameID=1204
2013-12-03_01:36:34.064|I|32121|B7F636D0|INFO|registService|Addr=(127.0.0.1:33625)|CmdID=0x10003306|GatewayID=0|GameID=1204
2013-12-03_01:36:35.085|I|32121|B7F636D0|INFO|onAcceptOK|1|Addr=(127.0.0.1:33635)
